time,symbol,side,factor,value,ret
1775198231.5974953,AIOTUSDT,LONG,hf_lob_z1,0.0,-10.12373453318333
1775198231.5974953,AIOTUSDT,LONG,hf_lob_z2,0.0,-10.12373453318333
1775198231.5974953,AIOTUSDT,LONG,hf_fast_boost,0.2101,-10.12373453318333
1775198231.5974953,AIOTUSDT,LONG,hf_timing_score,-0.6967,-10.12373453318333
1775198231.5974953,AIOTUSDT,LONG,hf_microprice,-0.4485,-10.12373453318333
1775198330.650582,币安人生USDT,LONG,volume_zscore,0.7877195117183303,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,oi_change_pct,3.0,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,ret_1m,-0.4639489981195828,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,ret_5m,3.0,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,funding_rate,0.20803892460299017,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,ret_24h,0.8231662049812583,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,raw_total,1.5351501047890155,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,normalized_total,3.713835845572885,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_ofi,-0.2333,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_lob_pc1,0.0,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_lob_z1,0.0,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_lob_z2,0.0,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_fast_boost,0.1936,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_timing_score,-0.5743,-7.258210851025179
1775198330.650582,币安人生USDT,LONG,hf_microprice,-0.2261,-7.258210851025179
1775198572.607963,YBUSDT,LONG,volume_zscore,-0.10939997365107725,6.484149855907667
1775198572.607963,YBUSDT,LONG,oi_change_pct,2.7712105774046867,6.484149855907667
1775198572.607963,YBUSDT,LONG,ret_1m,-0.5538794685410424,6.484149855907667
1775198572.607963,YBUSDT,LONG,ret_5m,1.6802043173591061,6.484149855907667
1775198572.607963,YBUSDT,LONG,funding_rate,-1.5722969492380947,6.484149855907667
1775198572.607963,YBUSDT,LONG,ret_24h,2.4317338430190967,6.484149855907667
1775198572.607963,YBUSDT,LONG,raw_total,1.3757416145739678,6.484149855907667
1775198572.607963,YBUSDT,LONG,normalized_total,3.640351433761084,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_ofi,-0.0862,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_lob_pc1,0.0,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_lob_z1,0.0,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_lob_z2,0.0,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_fast_boost,0.0234,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_timing_score,0.2143,6.484149855907667
1775198572.607963,YBUSDT,LONG,hf_microprice,1.2078,6.484149855907667
1775198693.5095046,YBUSDT,LONG,volume_zscore,-0.5362060410628486,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,oi_change_pct,1.2714568697322515,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,ret_1m,1.5264348263961638,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,ret_5m,2.3065866490077043,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,funding_rate,-1.620958360859934,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,ret_24h,2.3970974268320293,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,raw_total,1.1855535773065915,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,normalized_total,3.09591054310651,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_ofi,0.1926,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_lob_pc1,0.0,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_lob_z1,0.0,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_lob_z2,0.0,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_fast_boost,0.1031,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_timing_score,0.7623,-7.874015748031425
1775198693.5095046,YBUSDT,LONG,hf_microprice,0.5679,-7.874015748031425
1775198851.1848876,STBLUSDT,LONG,volume_zscore,0.12091631060138124,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,oi_change_pct,-0.08563731165154859,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,ret_1m,1.0206059137308277,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,ret_5m,1.2986347061770793,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,funding_rate,0.22134089779123436,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,ret_24h,1.0422692848625341,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,raw_total,0.6015879314073058,4.008016032063965
